"Previous 
Local Code","UCOP Major
Code (CSS)",ISIS Major Code,Major Abbreviation,Major Description ,Diploma Title,Start Term,End Term,"Student 
Level",Department,Award Type,Program Length (in years),College,CIP Code,CIP Description,STEM,"Self 
Supporting","Discontinued or
Phasing Out",Notes,,,,,,,,
063,063,AN75,Anthropol,Anthropology,Anthropology,FA70,,GR,ANTH,MA CPH PHD,"2,2,7",GR,450201,ANTHROPOLOGY,,,,,,,,,,,,
218,218,AN76,CogSciAnth,Cognitive Sci & Anthropology,Cognitive Science and Anthropology,FA00,FA10,GR,ANTH,PHD,7,GR,450299,"ANTHROPOLOGY, OTHER",,,YES,,,,,,,,,
218,218,AN77,AnthCogSci,Anthropology & Cognitive Sci,Anthropology and Cognitive Science,SP03,,GR,ANTH,PHD,7,GR,450299,"ANTHROPOLOGY, OTHER",,,,,,,,,,,,
,04N,AN78,Anth-Apgn,Anthropology/Spec Anthropogeny,Anthropology with a Specialization in Anthropogeny,WI10,,GR,ANTH,PHD,7,GR,450299,"ANTHROPOLOGY, OTHER",,,,,,,,,,,,
,0BQ ,AN79,Anth-CGrdS,Anthro w/Spec in Crit Gndr Sts,Anthropology with a Specialization in Critical Gender Studies,FA16,,GR,ANTH,PHD,7,GR,450299,"ANTHROPOLOGY, OTHER",,,,,,,,,,,,
,OBY,AN80,Anth-PIERS ,Anth w/Spec Intdis Envirn Res  ,Anthropology with a Specialization in Interdisciplinary Environmental Research,FA16,,GR,ANTH,PHD,7,GR,450202,PHYSICAL AND BIOLOGICAL ANTHROPOLOGY,,,,,,,,,,,,
,0EV,AN81,Anth-SciSt,Anthropology (Science Studies),Anthropology (Science Studies),FA19,,GR,ANTH,PHD,7,GR,450201,ANTHROPOLOGY,,,,,,,,,,,,
,0IE,AN82,AnthSpcCSS,Anthro w/Spec in Comp Soc Sci,Anthropology with a Specialization in Computational Social Science ,S122,,GR,ANTH,PHD,7,GR,450299,"ANTHROPOLOGY, OTHER",,,,,,,,,,,,
,0LS,AN83,AnthSpCgSc,Anthro w/Spec Cognitive Sci,Anthropology with a Specialization in Cognitive Science,FA25,,GR,ANTH,PHD,7,GR,450299,"ANTHROPOLOGY, OTHER",,,,,,,,,,,,
,084,AR75,Architectr,Architecture,Architecture,FA92,FA09,GR,ARCH,MAR1 MAR2 MS,2,GR,040201,ARCHITECTURE,,,YES,,,,,,,,,
---,65A,AS75,LHCO-SOM,Leadership/Health Care Organiz,Leadership/Health Care Organization,WI01,SP10,GR,MAS,MAS,2,GR,510701,HEALTH/HEALTH CARE ADMINISTRATION/MANAGEMENT,,,YES,,,,,,,,,
---,65A,AS76,LHCO,Leadership/Health Care Organiz,Leadership/Health Care Organization,WI01,FA20,GR,MAS,MAS,2,GR,510701,HEALTH/HEALTH CARE ADMINISTRATION/MANAGEMENT,,YES,YES,Administratively Ends as of FA20,,,,,,,,
---,65A,AS77,LHCO-SPPS,Leadership/Health Care Organiz,Leadership/Health Care Organization,FA02,SP10,GR,MAS,MAS,2,GR,510701,HEALTH/HEALTH CARE ADMINISTRATION/MANAGEMENT,,,YES,,,,,,,,,
---,563,AS78,CIRes-SOM,Clinical Research,Clinical Research,SP03,SP10,GR,MAS,MAS,2,GR,511401,MEDICAL SCIENTIST,YES,,YES,,,,,,,,,
---,563,AS79,CIRes,Clinical Research,Clinical Research,SP03,,GR,MAS,MAS,2,GR,511401,MEDICAL SCIENTIST,YES,YES,,,,,,,,,,
---,563,AS80,CIRes-SPPS,Clinical Research,Clinical Research,SP03,SP10,GR,MAS,MAS,2,GR,511401,MEDICAL SCIENTIST,YES,,YES,,,,,,,,,
---,53B,AS81,MarBiodiv,Marine Biodiversity & Conserv,Marine Biodiversity and Conservation,WI04,FA13,GR,MAS,MAS,2,GR,261302,MARINE BIOLOGY AND BIOLOGICAL OCEANOGRAPHY,YES,YES,YES,,,,,,,,,
---,00A,AS82,Health Law,Health Law (Joint MAS CWSL),Health Law,FA06,,GR,MAS,MAS,2,GR,220208,HEALTH LAW,,YES,YES,,,,,,,,,
,00A,AS83,HlthPolLaw,Hlth Pol & Law(Joint MAS CWSL),Health Policy and Law,SP14,,GR,MAS,MAS,2,GR,220208,HEALTH LAW,,YES,YES,,,,,,,,,
,0L9,AS84,PMTOnco,Prec Med Therapeut in Oncology,Precision Medicine Therapeutics in Oncology,FA25,,GR,MAS,MAS,2,GR,260911,Oncology and Cancer Biology,YES,YES,,,,,,,,,,
,0EB,AT25,Ast&AstrPh,Astronomy and Astrophysics,Astronomy and Astrophysics,S123,,UN,ASTR,BS,4,RE MU TH WA FI SI SN EI,400201,ASTRONOMY,YES,,,Administrative start in S1 to accommodate new students attending Summer,,,,,,,,
,0EB,AT26,Ast&AstrPh,Astronomy and Astrophysics,Astronomy and Astrophysics,S123,,UN,ASTR,BA,4,RE MU TH WA FI SI SN EI,400201,ASTRONOMY,YES,,,Administrative start in S1 to accommodate new students attending Summer,,,,,,,,
,0MF,AT27,AstroPhys,Astrophysical Sciences,Astrophysical Sciences,WI26,,UN,ASTR,BS,4,RE MU TH WA FI SI SN EI,400202,ASTROPHYSICS,YES,,,,,,,,,,,
,099,AT75,Astronomy,Astronomy,Astronomy,FA24,,GR,ASTR,MS PHD,"2,7",GR,400201,ASTRONOMY,YES,,,,,,,,,,,
,0EB,AT76,Ast&AstrPh,Astronomy and Astrophysics,Astronomy and Astrophysics,FA25,,GR,ASTR,MS PHD,"2,7",GR,400299,"Astronomy and Astrophysics, Other",YES,,,,,,,,,,,
,8A1,AU75,Audiolo-JD,Audiology (Jnt. Doc SDSU),Doctor of Audiology,FA03,,GR,AUDL,AUD,7,GR,510202,AUDIOLOGY/AUDIOLOGIST,,,,,,,,,,,,
,747,BE01,Pr-Bioeng,Pre-Bioengineering,,FA94,FA10,UN,BENG,NONE,4,RE MU TH WA FI SI,149999,"ENGINEERING, OTHER",YES,,YES,,,,,,,,,
,747,BE02,Pr-BioenPM,Pre-Bioengineering: Pre-Medical,,FA94,FA18,UN,BENG,NONE,4,RE MU TH WA FI SI,149999,"ENGINEERING, OTHER",YES,,YES,,,,,,,,,
,747,BE03,Pr-BioenBt,Pre-Bioengineering (Biotechnol),,FA01,S309,UN,BENG,NONE,4,RE MU TH WA FI SI,149999,"ENGINEERING, OTHER",YES,,YES,,,,,,,,,
,26G,BE04,Pr-BioenBf,Pre-Bioengineer: Bioinformatics,,FA01,WI09,UN,BENG,NONE,4,RE MU TH WA FI SI,261103,BIOINFORMATICS,YES,,YES,,,,,,,,,
,288,BE25,Bioengin,Bioengineering,Bioengineering,FA94,,UN,BENG,BS,5,RE MU TH WA FI SI SN EI,140501,BIOENGINEERING AND BIOMEDICAL ENGINEERING,YES,,,,,,,,,,,
,291,BE26 ,Bioeng:PM,Bioengineering: Pre-Medical,Bioengineering: Pre-Medical,FA94,FA18,UN,BENG,BA BS,5,RE MU TH WA FI SI,140501,BIOENGINEERING AND BIOMEDICAL ENGINEERING,YES,,YES,BA is phased out. Only offers BS.,,,,,,,,
,265,BE27,BioengBiot,Bioengineering (Biotechnology),Bioengineering (Biotechnology),WI98,,UN,BENG,BS,5,RE MU TH WA FI SI SN EI,140501,BIOENGINEERING AND BIOMEDICAL ENGINEERING,YES,,,Not available for new applicants. Only continuing students who have met certain criteria will be admitted to this major.,,,,,,,,
,26F,BE28,Bioen: Binf,Bioengineering: Bioinformatics,Bioengineering: Bioinformatics,FA01,,UN,BENG,BS,5,RE MU TH WA FI SI SN EI,261103,BIOINFORMATICS,YES,,,,,,,,,,,
,07U,BE29,BioengBios,Bioengineering: BioSystems,Bioengineering: BioSystems,FA13,,UN,BENG,BS,5,RE MU TH WA FI SI SN EI,144501,BIOLOGICAL/BIOSYSTEMS ENGINEERING,YES,,,,,,,,,,,
,664,BE75,Bioengin,Bioengineering,Bioengineering,FA94,,GR,BENG,MENG MS CPH PHD,"2,2,2,7",GR,140501,BIOLOGICAL/BIOSYSTEMS ENGINEERING,YES,,,"Fixed typo, previously 144501, BIOLOGICAL/BIOSYSTEMS ENGINEERING. ",,,,,,,,
,288,BE76,Bioeng-HS,Bioengineering,Bioengineering,SP99,,GR,BENG,MENG MS CPH PHD,"2,2,2,7",GR,140501,BIOLOGICAL/BIOSYSTEMS ENGINEERING,YES,,,Used only for graduate academics to be allocated to Health Sciences in CSS third week and end of term reporting.,,,,,,,,
,26F,BE77,BioenBioin,Bioengin w/Spec Bioinformatics,Bioengineering with Specialization in Bioinformatics,FA00,,GR,BENG,PHD,7,GR,261103,BIOINFORMATICS,YES,,,,,,,,,,,
,03G,BE78,BEngMSBiol,Bioeng w/Spec Multi-ScaleBio,Bioengineering with a Specialization in Multi-Scale Biology,WI09,,GR,BENG,PHD,7,GR,140501,BIOENGINEERING AND BIOMEDICAL ENGINEERING,YES,,,,,,,,,,,
,05F,BE79,Eng Sci-JD,Engin Sci(Bioeng)Jt Doc SDSU,Engineering Sciences (Bioengineering),FA10,,GR,BENG,PHD,7,GR,141301,Engineering Science,YES,,,,,,,,,,,
,09F,BE80,BEngQntBio,Bieng w/Spec Quantitative Biol,Bioengineering with a Specialization in Quantitative Biology,FA14,,GR,BENG,PHD,7,GR,140501,BIOENGINEERING AND BIOMEDICAL ENGINEERING,YES,,,,,,,,,,,
,0CK,BE81,BEngCmpNeu,Bieng w/Spec Computational Neu,Bioengineering with a Specialization in Computational Neuroscience,FA16,,GR,BENG,PHD,7,GR,140501,BIOENGINEERING AND BIOMEDICAL ENGINEERING,YES,,,,,,,,,,,
,0DY,BE82,BioEgnMD,Bioengineering w/ Medical Spec,Bioengineering with a Medical Specialization,FA18,,GR,BENG,MS,2,GR,140501,BIOENGINEERING AND BIOMEDICAL ENGINEERING,YES,,,,,,,,,,,
,0GE,BE83,BEngMdDvEn,Bioengineering w/Spec Medical Dev Engin,Bioengineering with a Specialization in Medical Device Engineering,FA20,,GR,BENG,MENG,2,GR,140501,BIOENGINEERING AND BIOMEDICAL ENGINEERING,YES,,,,,,,,,,,
,25F,BF75,Bioinform,Bioinformatics,Bioinformatics,FA01,,GR,BINF,MS PHD,"2,7",GR,261103,BIOINFORMATICS,YES,,YES,,,,,,,,,
,25F,BF76,Bio&SysBio,Bioinformatics & Systems Bio,Bioinformatics and Systems Biology,WI09,,GR,BINF,MS PHD,"2,7",GR,261103,BIOINFORMATICS,YES,,,,,,,,,,,
,08O,BF77,BioSyBioIn,BioSysBio/Spec Biomed Infomtcs,Bioinformatics and Systems Biology with a Specialization in Biomedical Informatics,WI14,,GR,BINF,PHD,7,GR,261103,BIOINFORMATICS,YES,,,,,,,,,,,
,09G,BF78,BioSyQntBi,BioSysBio/Spec Quantative Biol,Bioinformatics and Systems Biology with a Specialization in Quantitative Biology,FA14,,GR,BINF,PHD,7,GR,261103,BIOINFORMATICS,YES,,,,,,,,,,,
,252,BI01,Pr-AnPhyNe,Pre-Animal Physiol & Neurosci,,FA98,FA10,UN,BIOL,NONE,4,RE MU TH WA FI SI,260707,ANIMAL BIOLOGY,YES,,YES,,,,,,,,,
,253,BI02,Pr-BiochCB,Pre-Biochemistry & Cell Biol,,FA98,FA10,UN,BIOL,NONE,4,RE MU TH WA FI SI,260202,BIOCHEMISTRY,YES,,YES,,,,,,,,,
,254,BI03,Pr-EcBehEv,"Pre-Ecology, Behavior & Evol",,FA98,FA10,UN,BIOL,NONE,4,RE MU TH WA FI SI,261399,ECO/EVOL/SYSTEMATIC/POP BIOL,YES,,YES,,,,,,,,,
,718,BI04,Pr-GenBiol,Pre-General Biology,,FA98,FA10,UN,BIOL,NONE,4,RE MU TH WA FI SI,260101,"BIOLOGY/BIOLOGICAL SCIENCES, GENERAL",YES,,YES,,,,,,,,,
,739,BI05,Pr-Microbi,Pre-Microbiology,,FA98,FA10,UN,BIOL,NONE,4,RE MU TH WA FI SI,260502,"MICROBIOLOGY, GENERAL",YES,,YES,,,,,,,,,
,255,BI06,Pr-MolecBi,Pre-Molecular Biology,,FA98,FA10,UN,BIOL,NONE,4,RE MU TH WA FI SI,260204,MOLECULAR BIOLOGY,YES,,YES,,,,,,,,,
,12G,BI07,Pr-BioBinf,Pre-Biol w/Spec Bioinformatics,,FA01,FA10,UN,BIOL,NONE,4,RE MU TH WA FI SI,261103,BIOINFORMATICS,YES,,YES,,,,,,,,,
123,HIST,BI25,Biology,Biology,,FS64,FA90,UN,BIOL,BA,4,RE MU TH WA,000000,NOT APPLICABLE AT UCSD,,,YES,,,,,,,,,
707,HIST,BI26,PopultnBio,Population Biology,,FA80,FA90,UN,BIOL,BA,4,RE MU TH WA,000000,NOT APPLICABLE AT UCSD,,,YES,,,,,,,,,
,,BI27,,,,,,,BIOL,,,,000000,NOT APPLICABLE AT UCSD,,,,Reserved for Historical Code,,,,,,,,
057,057,BI28,Anml Physl,Animal Physiology & Neurosci  ,Animal Physiology and Neuroscience,FA80,S205/FA12,UN,BIOL,BA BS,4,RE MU TH WA FI SI,260707,ANIMAL PHYSIOLOGY,YES,,YES,,,,,,,,,
118,118,BI29,Bioc/CellB,Biochemistry and Cell Biology,Biochemistry and Cell Biology,FA80,SU25,UN,BIOL,BA BS,4,RE MU TH WA FI SI SN EI,260202,BIOCHEMISTRY,YES,,YES,BA is phased out. Only offers BS. ,,,,,,,,
122,122,BI30,Ec/Beh/Evo,"Ecology, Behavior & Evolution","Ecology, Behavior and Evolution",WI82,,UN,BIOL,BA BS,4,RE MU TH WA FI SI SN EI,261399,ECO/EVOL/SYSTEMATIC/POP BIOL,YES,,,BA is phased out. Only offers BS. ,,,,,,,,
123,123,BI31,Genl Biol,General Biology,General Biology,SP78,,UN,BIOL,BA BS,4,RE MU TH WA FI SI SN EI,260101,"BIOLOGY/BIOLOGICAL SCIENCES, GENERAL",YES,,,BA is phased out. Only offers BS. ,,,,,,,,
570,570,BI32,Microbiol,Microbiology,Microbiology,FA80,,UN,BIOL,BA BS,4,RE MU TH WA FI SI SN EI,260502,"MICROBIOLOGY, GENERAL",YES,,,BA is phased out. Only offers BS. ,,,,,,,,
573,573,BI33,Molec Biol,Molecular Biology,Molecular Biology,WI85,SU25,UN,BIOL,BA BS,4,RE MU TH WA FI SI SN EI,260204,MOLECULAR BIOLOGY,YES,,YES,BA is phased out. Only offers BS. ,,,,,,,,
,12F,BI34,BiolBioinf,Biology w/Spec Bioinformatics,Biology with Specialization in Bioinformatics,FA01,,UN,BIOL,BS,4,RE MU TH WA FI SI SN EI,261103,BIOINFORMATICS,YES,,,,,,,,,,,
,12H,BI35,Human Bio,Human Biology,Human Biology,FA03,,UN,BIOL,BS,4,RE MU TH WA FI SI SN EI,260101,"BIOLOGY/BIOLOGICAL SCIENCES, GENERAL",YES,,,,,,,,,,,
,057,BI36,PhyslNeuro,Physiology & Neuroscience,Physiology and Neuroscience,FA05,SU25,UN,BIOL,BS,4,RE MU TH WA FI SI SN EI,261503,NEUROBIOLOGY AND ANATOMY,YES,,YES,,,,,,,,,
,974,BI37,MolCellBio,Molecular and Cell Biology,Molecular and Cell Biology,S118,,UN,BIOL,BS,4,RE MU TH WA FI SI SN EI,260406,CELL/CELLULAR AND MOLECULAR BIOLOGY,YES,,,Administrative start in S1 to accommodate new students attending Summer,,,,,,,,
